"sales_month","kind_of_business","sales","yearly_sales","pctg_yearly"
"2008-03-01","Men's clothing stores",681,8351,8.1547120105376602
"2008-03-01","Women's clothing stores",3392,38402,8.8328732878495912
"2008-04-01","Men's clothing stores",710,8351,8.5019758112800862
"2008-04-01","Women's clothing stores",3439,38402,8.9552627467319410
"2008-05-01","Women's clothing stores",3603,38402,9.3823238373001406
"2008-05-01","Men's clothing stores",757,8351,9.0647826607591905
"2008-06-01","Men's clothing stores",715,8351,8.5618488803736080
"2008-06-01","Women's clothing stores",3149,38402,8.2000937451174418
"2008-07-01","Men's clothing stores",622,8351,7.4482097952341037
"2008-07-01","Women's clothing stores",2972,38402,7.7391802510285923
"2008-08-01","Women's clothing stores",3144,38402,8.1870735899171918
"2008-08-01","Men's clothing stores",655,8351,7.8433720512513471
"2008-09-01","Men's clothing stores",635,8351,7.6038797748772602
"2008-09-01","Women's clothing stores",3064,38402,7.9787511067131920
"2008-10-01","Men's clothing stores",664,8351,7.9511435756196863
"2008-10-01","Women's clothing stores",3071,38402,7.9969793239935420
"2008-11-01","Women's clothing stores",3242,38402,8.4422686318420916
"2008-11-01","Men's clothing stores",708,8351,8.4780265836426775
"2008-12-01","Men's clothing stores",1009,8351,12.0823853430726859
"2008-12-01","Women's clothing stores",4044,38402,10.5307015259621895
"2009-01-01","Women's clothing stores",2285,36055,6.3375398696436001
"2009-01-01","Men's clothing stores",524,7353,7.1263429892560860
"2009-02-01","Men's clothing stores",496,7353,6.7455460356317149
"2009-02-01","Women's clothing stores",2424,36055,6.7230619886284843
"2009-03-01","Men's clothing stores",542,7353,7.3711410308717530
"2009-03-01","Women's clothing stores",2953,36055,8.1902648731105256
"2009-04-01","Women's clothing stores",3264,36055,9.0528359450838996
"2009-04-01","Men's clothing stores",669,7353,9.0983272133822929
"2009-05-01","Women's clothing stores",3280,36055,9.0972125918735266
"2009-05-01","Men's clothing stores",650,7353,8.8399292805657555
"2009-06-01","Men's clothing stores",607,7353,8.2551339589283286
"2009-06-01","Women's clothing stores",2894,36055,8.0266259880737762
"2009-07-01","Men's clothing stores",575,7353,7.8199374405004760
"2009-07-01","Women's clothing stores",2716,36055,7.5329357925391763
"2009-08-01","Women's clothing stores",2942,36055,8.1597559284426571
"2009-08-01","Men's clothing stores",551,7353,7.4935400516795866
"2009-09-01","Men's clothing stores",579,7353,7.8743370053039576
"2009-09-01","Women's clothing stores",2939,36055,8.1514353071696020
