"sales_month","kind_of_business","sales"
"2009-10-01","Men's clothing stores",610
"2009-10-01","Women's clothing stores",3095
"2009-11-01","Men's clothing stores",620
"2009-11-01","Women's clothing stores",3189
"2009-12-01","Men's clothing stores",930
"2009-12-01","Women's clothing stores",4074
"2010-01-01","Men's clothing stores",476
"2010-01-01","Women's clothing stores",2304
"2010-02-01","Men's clothing stores",471
"2010-02-01","Women's clothing stores",2480
"2010-03-01","Men's clothing stores",568
"2010-03-01","Women's clothing stores",3293
"2010-04-01","Men's clothing stores",630
"2010-04-01","Women's clothing stores",3334
"2010-05-01","Men's clothing stores",627
"2010-05-01","Women's clothing stores",3308
"2010-06-01","Men's clothing stores",598
"2010-06-01","Women's clothing stores",2995
"2010-07-01","Men's clothing stores",544
"2010-07-01","Women's clothing stores",2847
"2010-08-01","Men's clothing stores",517
"2010-08-01","Women's clothing stores",2960
"2010-09-01","Men's clothing stores",563
"2010-09-01","Women's clothing stores",3061
"2010-10-01","Men's clothing stores",634
"2010-10-01","Women's clothing stores",3214
"2010-11-01","Men's clothing stores",669
"2010-11-01","Women's clothing stores",3454
"2010-12-01","Men's clothing stores",988
"2010-12-01","Women's clothing stores",4440
"2011-01-01","Men's clothing stores",487
"2011-01-01","Women's clothing stores",2345
"2011-02-01","Men's clothing stores",497
"2011-02-01","Women's clothing stores",2753
"2011-03-01","Men's clothing stores",599
"2011-03-01","Women's clothing stores",3449
"2011-04-01","Men's clothing stores",690
"2011-04-01","Women's clothing stores",3582
"2011-05-01","Men's clothing stores",677
"2011-05-01","Women's clothing stores",3508
"2011-06-01","Men's clothing stores",661
"2011-06-01","Women's clothing stores",3285
"2011-07-01","Men's clothing stores",587
"2011-07-01","Women's clothing stores",3060
"2011-08-01","Men's clothing stores",549
"2011-08-01","Women's clothing stores",3027
"2011-09-01","Men's clothing stores",643
"2011-09-01","Women's clothing stores",3301
"2011-10-01","Men's clothing stores",682
"2011-10-01","Women's clothing stores",3297
"2011-11-01","Men's clothing stores",707
"2011-11-01","Women's clothing stores",3625
"2011-12-01","Men's clothing stores",1081
"2011-12-01","Women's clothing stores",4816
"2012-01-01","Men's clothing stores",525
"2012-01-01","Women's clothing stores",2544
"2012-02-01","Men's clothing stores",545
"2012-02-01","Women's clothing stores",3036
"2012-03-01","Men's clothing stores",623
"2012-03-01","Women's clothing stores",3840
"2012-04-01","Men's clothing stores",711
"2012-04-01","Women's clothing stores",3592
"2012-05-01","Men's clothing stores",725
"2012-05-01","Women's clothing stores",3693
"2012-06-01","Men's clothing stores",703
"2012-06-01","Women's clothing stores",3374
"2012-07-01","Men's clothing stores",613
"2012-07-01","Women's clothing stores",3094
"2012-08-01","Men's clothing stores",619
"2012-08-01","Women's clothing stores",3284
"2012-09-01","Men's clothing stores",687
"2012-09-01","Women's clothing stores",3339
"2012-10-01","Men's clothing stores",710
"2012-10-01","Women's clothing stores",3482
"2012-11-01","Men's clothing stores",731
"2012-11-01","Women's clothing stores",3823
"2012-12-01","Men's clothing stores",1080
"2012-12-01","Women's clothing stores",4693
"2013-01-01","Men's clothing stores",599
"2013-01-01","Women's clothing stores",2664
"2013-02-01","Men's clothing stores",560
"2013-02-01","Women's clothing stores",2806
"2013-03-01","Men's clothing stores",682
"2013-03-01","Women's clothing stores",3733
"2013-04-01","Men's clothing stores",718
"2013-04-01","Women's clothing stores",3511
"2013-05-01","Men's clothing stores",749
"2013-05-01","Women's clothing stores",3744
"2013-06-01","Men's clothing stores",678
"2013-06-01","Women's clothing stores",3273
"2013-07-01","Men's clothing stores",648
"2013-07-01","Women's clothing stores",3184
"2013-08-01","Men's clothing stores",687
"2013-08-01","Women's clothing stores",3484
"2013-09-01","Men's clothing stores",681
"2013-09-01","Women's clothing stores",3293
"2013-10-01","Men's clothing stores",785
"2013-10-01","Women's clothing stores",3515
"2013-11-01","Men's clothing stores",798
"2013-11-01","Women's clothing stores",3830
"2013-12-01","Men's clothing stores",1085
"2013-12-01","Women's clothing stores",4750
"2014-01-01","Men's clothing stores",573
"2014-01-01","Women's clothing stores",2469
"2014-02-01","Men's clothing stores",636
"2014-02-01","Women's clothing stores",2823
