"sales_month","sales","moving_avg","records_count"
"2015-11-01",3719,3425.5833333333333333,12
"2006-11-01",3414,3212.1666666666666667,12
"2001-03-01",2671,2656.2500000000000000,12
"2007-07-01",2770,3338.2500000000000000,12
"2008-02-01",2763,3353.5833333333333333,12
"2002-12-01",3966,2603.8333333333333333,12
"1993-09-01",2622,2721.7500000000000000,12
"2013-07-01",3184,3461.3333333333333333,12
"2001-09-01",2394,2628.0000000000000000,12
"2004-08-01",2644,2859.0000000000000000,12
"2005-10-01",3120,3044.9166666666666667,12
"2002-04-01",2680,2623.8333333333333333,12
"1998-04-01",2507,2326.6666666666666667,12
"2003-05-01",2813,2599.0000000000000000,12
"2002-02-01",2159,2624.9166666666666667,12
"1996-02-01",1834,2380.1666666666666667,12
"2014-01-01",2469,3466.0000000000000000,12
"2018-04-01",3429,3368.3333333333333333,12
"2007-06-01",3412,3351.0000000000000000,12
"2017-08-01",3293,3387.5833333333333333,12
"1999-08-01",2407,2448.3333333333333333,12
"2012-04-01",3592,3410.9166666666666667,12
"2010-06-01",2995,3055.7500000000000000,12
"2003-03-01",2619,2590.5000000000000000,12
"2002-10-01",2531,2598.8333333333333333,12
"1993-04-01",2762,2684.5833333333333333,12
"2011-01-01",2345,3144.2500000000000000,12
"2012-08-01",3284,3458.0000000000000000,12
"2015-03-01",3545,3462.8333333333333333,12
"2018-01-01",2391,3383.0833333333333333,12
"2011-05-01",3508,3217.3333333333333333,12
"2000-12-01",3873,2620.5833333333333333,12
"1998-11-01",2531,2354.8333333333333333,12
"1997-08-01",2334,2342.0833333333333333,12
"1998-06-01",2254,2338.1666666666666667,12
"2002-11-01",2740,2595.0000000000000000,12
"2001-04-01",2801,2664.1666666666666667,12
"1999-02-01",1883,2372.5833333333333333,12
"2018-11-01",4157,3443.0000000000000000,12
"2002-03-01",2779,2633.9166666666666667,12
"1998-01-01",1722,2320.4166666666666667,12
"2014-02-01",2823,3467.4166666666666667,12
"2008-11-01",3242,3255.0833333333333333,12
"2004-01-01",2267,2731.4166666666666667,12
"1997-11-01",2486,2327.5833333333333333,12
"1995-10-01",2312,2447.6666666666666667,12
"1995-05-01",2535,2504.8333333333333333,12
"2009-04-01",3264,3101.2500000000000000,12
"2015-06-01",3231,3452.4166666666666667,12
"2007-02-01",2694,3258.8333333333333333,12
"2005-07-01",2741,2999.4166666666666667,12
"2011-04-01",3582,3200.6666666666666667,12
"2018-05-01",3805,3384.0833333333333333,12
"1995-03-01",2393,2516.2500000000000000,12
"1999-05-01",2687,2422.3333333333333333,12
"2016-01-01",2477,3419.1666666666666667,12
"2008-08-01",3144,3313.7500000000000000,12
"2006-03-01",3194,3117.4166666666666667,12
